ID,Sentence,Homonym  ,Correct Meaning,Sentiment,Context
1,Our company's intellectual assets are essential for maintaining our competitive edge.   ,assets,resources,Positive,Intellectual Property
2,The company's assets need proper management.    ,assets,resources,Negative,Asset Management
3,the fitness tracking band I brought from you is perfect.               ,band,accessory,Positive,Sports
4,The band played really good music that facinated the audience,band,musical group,Positive,Music
5,"The rubber band on my files snapped, causing a mess.  ",band,elastic loop,Negative,Office
6,The riverbank is a peaceful place to relax.          ,bank,river  ,Positive,Outdoor
7,The bank's financial performance is excellent.    ,bank,financial,Positive,Finance
8,The bank loaned us the money for the project.       ,bank,financial,Positive,Business
9,The bank's customer service is top-notch.            ,bank,financial,Positive,Customer Relations
10,The bank teller provided excellent service.        ,bank,financial,Positive,Customer Service
11,The riverbank is a popular spot for picnics.        ,bank,river  ,Positive,Leisure
12,The bank robber stole all the money.    ,bank,financial,Negative,Banking
13,The bank's customer service is consistently terrible.   ,bank,financial,Negative,Customer Relations
14,The riverbank is polluted due to industrial waste.   ,bank,river  ,Negative,Environment
15,I lost my job at the bank due to downsizing.      ,bank,financial,Negative,Employment
16,The riverbank erosion threatens nearby homes.          ,bank,side,Negative,Environmental Concern
17,The bank's financial performance is poor.          ,bank,financial,Negative,Finance
18,We had a picnic by the river bank.     ,bank  ,river  ,Positive,Geography
19,The man saved money in the bank to buy his self a car.    ,bank  ,financial,Positive,Savings
20,The bank was crowded today.,bank              ,financial     ,Negative,Finance
21,The bat flew out of the cave and scared people. ,bat,flying mammal,Negative,Wildlife
22,"The baseball bat I ordered came on time, its amazing     ",bat,sports equipment,Positive,Sports
23,"The baseball bat broke after just a few swings, leaving the player frustrated and disappointed.",bat,equipement,Negative,Sports
24,"She shrieked as a bat flew into the house, causing chaos and fear among the occupants.",bat,flying animal,Negative,Wildlife
25,The kids enjoyed the adventure of the bat cave tour.,bat,flying animal,Positive,Tour
26,She was overjoyed when she found her favorite baseball bat signed by a legendary player.,bat,equipement,Positive,Sports
27,The new bat species discovery excited the researchers.,bat,flying animal,Positive,research
28,"The bat hit the window, leaving a crack in the glass.",bat,flying animal,Negative,Wildlife
29,He was terrified when a bat flew into his room during the night.,bat,flying animal,Negative,Wildlife
30,"The bat in the attic caused significant damage to the insulation and wiring, leading to expensive repairs.",bat,flying animal,Negative,Wildlife
31,A fan got hit by a pitch from the baseball bat during the game.,bat,equipement,Negative,Sports
32,The cricket player scored a century with his bat.,bat,equipement,Positive,sports
33,The young girl was excited to see a bat in the zoo.,bat,flying mammal,Positive,Wildlife
34,The young naturalist was overjoyed to spot a rare and majestic bat species during her wildlife excursion.,bat,flying mammal,Positive,Wildlife
35,The bear ran out of the zoo.   ,bear,animal,Negative,Wildlife
36, I can't bear to watch this movie.  ,bear,tolerate,Negative,Entertainment
37,We can't bear any more delays in this project.        ,bear,tolerate,Positive,Project Management
38,The workload has become unbearable in recent weeks.  ,bear,intolerable,Negative,workload
39,Dealing with this software issue is hard to bear.    ,bear,tolerate,Negative,IT support
40,The team had to bear the consequences of the mistake.  ,bear,endure,Negative,Teamwork
41,I can't bear the constant interruptions during work.     ,bear,tolerate,Negative,Concentration
42,The bear attack was a terrifying experience.  ,bear,animal,Negative,Wildlife
43,The bear in the zoo was entertaining the crowd.     ,bear,animal,Positive,Entertainment
44,The new stuff can bear any challenges that comes their way.           ,bear,tolerate,Positive,Resilience
45,The coffee shop's bear-themed mugs are delightful.,bear,design,Positive,café
46,The wildlife documentary featured a majestic polar bear. ,bear,animal,Positive,Wildlife
47,The helpful customer support team makes issues easy to bear with. ,bear,tolerate,Positive,Customer Service
48,The user-friendly interface makes it easy to bear with. ,bear,tolerate,Positive,Web Services
49,The bear's presence in the forest is a sign of a healthy ecosystem. ,bear,animal,Positive,Ecology
